category,fp32_precision,int8_precision,precision_change,fp32_recall,int8_recall,recall_change,fp32_f1,int8_f1,f1_change
toxic,0.9564596716630978,0.958963282937365,0.0025036112742672367,0.983125458547322,0.9772560528246516,-0.005869405722670473,0.9696092619392185,0.9680232558139535,-0.0015860061252649382
severe_toxic,0.6111975116640747,0.6065318818040435,-0.004665629860031162,0.49063670411985016,0.4868913857677903,-0.0037453183520598787,0.5443213296398892,0.5401662049861495,-0.0041551246537396835
obscene,0.9215063520871143,0.9218181818181819,0.00031182973106758105,0.9764423076923077,0.975,-0.0014423076923076872,0.9481792717086834,0.9476635514018692,-0.000515720306814238
threat,0.8264150943396227,0.8391472868217055,0.012732192482082794,0.9163179916317992,0.9058577405857741,-0.010460251046025104,0.8690476190476191,0.8712273641851107,0.00217974513749164
insult,0.8832050701674966,0.8819004524886878,-0.0013046176788088504,0.9620315581854043,0.9610453648915187,-0.0009861932938856066,0.9209346235544017,0.9197734780556867,-0.0011611454987150438
identity_hate,0.8596491228070176,0.8569343065693431,-0.0027148162376744445,0.8099173553719008,0.8085399449035813,-0.0013774104683195176,0.8340425531914893,0.8320340184266478,-0.0020085347648415297
